# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
2.760000e+02 9.249228e-02 3.788894e-02 3.925011e+10
2.770000e+02 9.229506e-02 3.781888e-02 3.832977e+10
2.780000e+02 9.211416e-02 3.774966e-02 3.743072e+10
2.790000e+02 9.194856e-02 3.768206e-02 3.654964e+10
2.800000e+02 9.176135e-02 3.761351e-02 3.569148e+10
2.810000e+02 9.157715e-02 3.754513e-02 3.485413e+10
2.820000e+02 9.141365e-02 3.747846e-02 3.403371e+10
2.830000e+02 9.123875e-02 3.741154e-02 3.323316e+10
2.840000e+02 9.104675e-02 3.734370e-02 3.245365e+10
2.850000e+02 9.089045e-02 3.727825e-02 3.168937e+10
2.860000e+02 9.071569e-02 3.721234e-02 3.094339e+10
2.870000e+02 9.052864e-02 3.714573e-02 3.021714e+10
2.880000e+02 9.037489e-02 3.708119e-02 2.950522e+10
2.890000e+02 9.019789e-02 3.701629e-02 2.881026e+10
2.900000e+02 9.002134e-02 3.695082e-02 2.813360e+10
2.910000e+02 8.986264e-02 3.688720e-02 2.747033e+10
2.920000e+02 8.969374e-02 3.682332e-02 2.682313e+10
2.930000e+02 8.951433e-02 3.675873e-02 2.619292e+10
2.940000e+02 8.936673e-02 3.669659e-02 2.557440e+10
2.950000e+02 8.918793e-02 3.663301e-02 2.497247e+10
2.960000e+02 8.902146e-02 3.656999e-02 2.438467e+10
2.970000e+02 8.887731e-02 3.650876e-02 2.380857e+10
2.980000e+02 8.869251e-02 3.644550e-02 2.324861e+10
2.990000e+02 8.854985e-02 3.638451e-02 2.270002e+10
3.000000e+02 8.838500e-02 3.632315e-02 2.216427e+10
3.010000e+02 8.821820e-02 3.626132e-02 2.164262e+10
3.020000e+02 8.807495e-02 3.620145e-02 2.113106e+10
3.030000e+02 8.790470e-02 3.614034e-02 2.063297e+10
3.040000e+02 8.775140e-02 3.608007e-02 2.014654e+10
3.050000e+02 8.760380e-02 3.602104e-02 1.966989e+10
3.060000e+02 8.743024e-02 3.596018e-02 1.920708e+10
3.070000e+02 8.729659e-02 3.590214e-02 1.875246e+10
3.080000e+02 8.712589e-02 3.584243e-02 1.831012e+10
3.090000e+02 8.698084e-02 3.578367e-02 1.787813e+10
3.100000e+02 8.683309e-02 3.572614e-02 1.745466e+10
3.110000e+02 8.666509e-02 3.566661e-02 1.704384e+10
3.120000e+02 8.653714e-02 3.561027e-02 1.663971e+10
3.130000e+02 8.636554e-02 3.555160e-02 1.624736e+10
3.140000e+02 8.622873e-02 3.549467e-02 1.586328e+10
3.150000e+02 8.607933e-02 3.543827e-02 1.548752e+10
3.160000e+02 8.591703e-02 3.538011e-02 1.512278e+10
3.170000e+02 8.579526e-02 3.532564e-02 1.476345e+10
3.180000e+02 8.561676e-02 3.526729e-02 1.441599e+10
3.190000e+02 8.550711e-02 3.521332e-02 1.407364e+10
3.200000e+02 8.533101e-02 3.515624e-02 1.374150e+10
3.210000e+02 8.521325e-02 3.510159e-02 1.341616e+10
3.220000e+02 8.505545e-02 3.504654e-02 1.309824e+10
3.230000e+02 8.491850e-02 3.499084e-02 1.278924e+10
3.240000e+02 8.478365e-02 3.493778e-02 1.248504e+10
3.250000e+02 8.462615e-02 3.488135e-02 1.219119e+10
3.260000e+02 8.451125e-02 3.482971e-02 1.190062e+10
3.270000e+02 8.433845e-02 3.477317e-02 1.162067e+10
3.280000e+02 8.423885e-02 3.472230e-02 1.134367e+10
3.290000e+02 8.405674e-02 3.466641e-02 1.107639e+10
3.300000e+02 8.396554e-02 3.461559e-02 1.081289e+10
