     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
2.37000e+04  3.524e+12  8.343395e-01  0.000000e+00  0.000000e+00  1.886e+10
2.38000e+04  3.514e+12  8.344084e-01  0.000000e+00  0.000000e+00  1.845e+10
2.39000e+04  3.504e+12  8.344777e-01  0.000000e+00  0.000000e+00  1.804e+10
2.40000e+04  3.494e+12  8.345476e-01  0.000000e+00  0.000000e+00  1.764e+10
2.41000e+04  3.484e+12  8.346184e-01  0.000000e+00  0.000000e+00  1.725e+10
2.42000e+04  3.474e+12  8.346898e-01  0.000000e+00  0.000000e+00  1.688e+10
2.43000e+04  3.463e+12  8.347620e-01  0.000000e+00  0.000000e+00  1.651e+10
2.44000e+04  3.453e+12  8.348349e-01  0.000000e+00  0.000000e+00  1.615e+10
2.45000e+04  3.443e+12  8.349086e-01  0.000000e+00  0.000000e+00  1.581e+10
2.46000e+04  3.433e+12  8.349829e-01  0.000000e+00  0.000000e+00  1.547e+10
2.47000e+04  3.423e+12  8.350579e-01  0.000000e+00  0.000000e+00  1.514e+10
2.48000e+04  3.413e+12  8.351336e-01  0.000000e+00  0.000000e+00  1.481e+10
2.49000e+04  3.402e+12  8.352100e-01  0.000000e+00  0.000000e+00  1.450e+10
2.50000e+04  3.392e+12  8.352871e-01  0.000000e+00  0.000000e+00  1.419e+10
2.51000e+04  3.382e+12  8.353648e-01  0.000000e+00  0.000000e+00  1.389e+10
2.52000e+04  3.372e+12  8.354432e-01  0.000000e+00  0.000000e+00  1.360e+10
2.53000e+04  3.362e+12  8.355222e-01  0.000000e+00  0.000000e+00  1.332e+10
2.54000e+04  3.351e+12  8.356018e-01  0.000000e+00  0.000000e+00  1.304e+10
2.55000e+04  3.341e+12  8.356821e-01  0.000000e+00  0.000000e+00  1.277e+10
2.56000e+04  3.331e+12  8.357630e-01  0.000000e+00  0.000000e+00  1.251e+10
2.57000e+04  3.321e+12  8.358445e-01  0.000000e+00  0.000000e+00  1.225e+10
2.58000e+04  3.310e+12  8.359266e-01  0.000000e+00  0.000000e+00  1.200e+10
2.59000e+04  3.300e+12  8.360093e-01  0.000000e+00  0.000000e+00  1.175e+10
2.60000e+04  3.290e+12  8.360926e-01  0.000000e+00  0.000000e+00  1.151e+10
2.61000e+04  3.280e+12  8.361764e-01  0.000000e+00  0.000000e+00  1.128e+10
2.62000e+04  3.269e+12  8.362609e-01  0.000000e+00  0.000000e+00  1.105e+10
2.63000e+04  3.259e+12  8.363459e-01  0.000000e+00  0.000000e+00  1.083e+10
2.64000e+04  3.249e+12  8.364314e-01  0.000000e+00  0.000000e+00  1.061e+10
2.65000e+04  3.238e+12  8.365176e-01  0.000000e+00  0.000000e+00  1.040e+10
2.66000e+04  3.228e+12  8.366042e-01  0.000000e+00  0.000000e+00  1.019e+10
2.67000e+04  3.218e+12  8.366914e-01  0.000000e+00  0.000000e+00  9.991e+09
